R Octo #,Blue area (avg mm) ,Red area (avg mm) ,Blue - red 
1,3.184222222,1.68,1.504222222
2,1.937454545,1.220666667,0.716787878
3,0.9604285714,0.484,0.4764285714
4,2.6795,1.881,0.7985
5,1.48875,1.3645,0.12425
6,1.281333333,0.8228,0.458533333
7,0.5097,1.32875,-0.81905
8,2.146222222,0.6823333333,1.463888889
9,1.398111111,0.6193333333,0.7787777777
10,2.5975,0.449,2.1485
11,2.709,0.144,2.565
12,4.0226,1.5945,2.4281
13,3.500875,1.409666667,2.091208333
16,0.931875,0.3153333333,0.6165416667
17,3.316333333,0.517,2.799333333